Item Code,Bin
ARE-IB,Hardware 4
ARE-JP-135,Hardware 4
ARE-JP-180,Hardware 4
ARE-JP-RJ,Hardware 4
ARE-JP-Y,Hardware 4
ARE-LBB,Hardware 4
ARE-PB,Hardware 4
ARE-PIV-FP,Hardware 4
ARE-PIV-P,Hardware 4
ARE-RRG-10,Hardware 4
ARE-RRG-12,Hardware 4
ARE-RRG-15,Hardware 4
ARE-RWH,Hardware 4
ARE-WG-10,Hardware 4
ARE-YOKE,Hardware 4
SIL600,Hardware 4
SRW-001,Hardware 4
VIAL-16ML,Hardware 4
VIAL-CAP,Hardware 4
VIT-0015L,Hardware 4
KAL-BSK06,Hardware 4
KAL-BSK-KIT,Hardware 4
M8*70-CSS,Hardware 4
N10*70-CSKSS,Hardware 4
AK-9P,Dispatch Office
GTD-8.0,Dispatch Office
GTD-8.0-AL,Dispatch Office
MCD-10.0-AL,Dispatch Office
MCD-12.0-AL,Dispatch Office
MCD-5.0-AL,Dispatch Office
MCD-6.0-AL,Dispatch Office
MCD-8.0-AL,Dispatch Office
MD-5.0,Dispatch Office
MD-5.0-AL,Dispatch Office
MD-6.0,Dispatch Office
MD-6.0-AL,Dispatch Office
MD-8.0,Dispatch Office
MD-8.0-AL,Dispatch Office
SMCD-10.0-AL,Dispatch Office
SMCD-12.0-AL,Dispatch Office
SMCD-5.0-AL,Dispatch Office
SMCD-6.0-AL,Dispatch Office
SMCD-8.0-AL,Dispatch Office
SMD-10.0-AL,Dispatch Office
SMD-12.0-AL,Dispatch Office
SMD-14.0-AL,Dispatch Office
SMD-16.0-AL,Dispatch Office
SMD-5.0-AL,Dispatch Office
SMD-6.0-AL,Dispatch Office
SMD-8.0-AL,Dispatch Office
SIL600,Dispatch Office
GTD-10.0-AL,Dispatch Office
GTD-5.0,Dispatch Office
GTD-5.0-AL,Dispatch Office
GTD-6.0,Dispatch Office
GTD-6.0-AL,Dispatch Office
